"Experiment","result","#solutions","#nodes","time","args",
"Midori-128-14-14__custom__1024",2^{-28},3,1331263,1403,14,14,custom,1024,
"Midori-128-15-15__custom__0",,,,nan,15,15,custom,0,
"Midori-128-15-15__custom__1",,,,nan,15,15,custom,1,
"Midori-128-15-15__custom__2",,,,nan,15,15,custom,2,
"Midori-128-15-15__custom__4",,,,nan,15,15,custom,4,
"Midori-128-15-15__custom__8",,,,nan,15,15,custom,8,
"Midori-128-15-15__custom__16",,,,nan,15,15,custom,16,
"Midori-128-15-15__custom__32",,,,nan,15,15,custom,32,
"Midori-128-15-15__custom__64",,,,nan,15,15,custom,64,
"Midori-128-15-15__custom__128",,,,nan,15,15,custom,128,
"Midori-128-15-15__custom__256",,,,nan,15,15,custom,256,
"Midori-128-15-15__custom__512",,,,nan,15,15,custom,512,
"Midori-128-15-15__custom__1024",,,,nan,15,15,custom,1024,
